src,sport,dst,dport,proto,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,avg_ttl_orig,avg_ttl_resp,overall_avg_ttl,mean_interpkt_orig,std_interpkt_orig,mean_interpkt_resp,std_interpkt_resp,Sload,Dload,mean_pkt_size_orig,mean_pkt_size_resp,load_diff,swin,dwin,stcpb,dtcpb,is_sm_ips_ports
172.22.57.150,61103,49.45.0.4,53,17,0.000000,70,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,70.0,0,0,0.0,0.0,0,0,0
172.22.57.150,49321,49.45.0.4,53,17,0.000000,70,0,1,0,128.0,0,128.0,0.0,0.0,0,0,0,0,70.0,0,0,0.0,0.0,0,0,0
49.45.0.4,53,172.22.57.150,49321,17,0.000000,146,0,1,0,57.0,0,57.0,0.0,0.0,0,0,0,0,146.0,0,0,0.0,0.0,0,0,0
49.45.0.4,53,172.22.57.150,61103,17,0.000000,102,0,1,0,57.0,0,57.0,0.0,0.0,0,0,0,0,102.0,0,0,0.0,0.0,0,0,0
172.22.57.150,60421,8.8.4.4,443,17,29.151013,5651,0,15,0,128.0,0,128.0,2.082215223993574,7.40499870873241,0,0,1550.820892570697285888486963,0E+6,376.73333333333335,0,1550.820892570697285888486963,0.0,0.0,0,0,0
8.8.4.4,443,172.22.57.150,60421,17,29.022197,8388,0,18,0,59.0,0,59.0,1.7071880593019373,6.767133179466182,0,0,2312.161274351490343753093537,0E+6,466.0,0,2312.161274351490343753093537,0.0,0.0,0,0,0
172.22.57.150,54424,108.158.46.111,443,6,45.375070,3914,0,11,0,128.0,0,128.0,4.537507009506226,13.521004059983532,0,0,690.0705607726886151360207268,0E+6,355.8181818181818,0,690.0705607726886151360207268,6188.818181818182,65535.0,805567805,0,0
108.158.46.111,443,172.22.57.150,54424,6,45.361461,1436,0,10,0,248.0,0,248.0,5.0401623249053955,14.147600476011542,0,0,253.2546295190977204195429243,0E+6,143.6,0,253.2546295190977204195429243,6677.7,65535.0,1496534856,0,0
172.22.57.150,54423,20.42.65.89,443,6,19.330051,2684,0,7,0,128.0,0,128.0,3.221675157546997,6.9527051241343365,0,0,1110.809278257982868229369907,0E+6,383.42857142857144,0,1110.809278257982868229369907,253.71428571428572,254.0,3485170555,0,0
20.42.65.89,443,172.22.57.150,54423,6,19.354564,474,0,6,0,106.0,0,106.0,3.870912790298462,7.435735860377297,0,0,195.9227807973354501811562379,0E+6,79.0,0,195.9227807973354501811562379,16385.833333333332,16386.0,935360004,0,0
